Category,Question,Answer
General,What screen cowboy rode Tony the Wonder Horse,Tom Mix
Music,In Which Year Did The Band Play A Free Concert In Londons Hyde Park,1969
General,What is the longest river in Italy,Po
History & Holidays,In which 1970's films does Dustin Hoffman play the character ' Lenny Bruce' ?,Lenny
General,What type of bird is a 'Beltsville',Turkey
General,P L Travers created which famous character,Mary Poppins
Science & Nature,"Which Lays Blue Egg's , The Song Thrush Or The Mistle Thrush",Song Thrush
General,The name Europe comes from where,Greek Mythology
General,Which 1997 Movie Held The Record For The Biggest Opening For A British Film At The US Box Office Taking 2.5m Dollars In Just 3 Days,Mr Bean (The Ultimate Disaster Movie)
General,After Paris which is the largest French speaking city in the world,Montreal
General,In Minneapolis what is the maximum penalty for double parking,The Chain Gang
General,Thomas Edison had a phobia what was it,The Dark
General,Who was British Prime Minister at the time of the General Strike in 1926,Stanley baldwin
General,What instrument does Grumpy play in Disney's Snow White,Organ
General,What is a Pygmy Blue,Smallest butterfly
General,A hot spicy root used in cooking,Ginger
General,What type of animal is a 'godwit',Bird
General,Who was the male star when The Mousetrap first played,Richard Attenbourough
General,Where was/is the original Penthouse,In a Real Tennis Court
History & Holidays,Sir Stamford Raffles founded which minor Asian nation?,Singapore
General,Which sea on Earth has no beaches,Sargasso sea
General,The longest key on your keyboard is the _____ bar,Space
General,Does sound travel faster in warmer or colder air,Warmer
Geography,In which country is normandy,France
General,Sinatra What are the primary colors,Red yellow blue blue red yellow blue yellow
General,The artist formerly known as prince had a both a hit song & movie by this title,Purple rain
General,"The symbol on the ""pound"" key (#) is called a(n) _________",Octothorpe
History & Holidays,Where Was The Only British Prime Minister To Be Assassinated Killed?,The Lobby Of The House Of Commons
Sports & Leisure,Which Former BBC Sports Presenter Gave Up His Career In Pursuit Of Spiritual & Religious Beliefs & Was Once Called (As Nutty As A Box Of Frogs) By A Talk Show Host,David Icke
Geography,What is the capital of Singapore ?,Singapore
General,Dressed list who paid miss ussr four cartons of marlboro to be on his show,David
General,What does n.a.s.a stand for,National aeronautics and space administration
History & Holidays,Which Country Celebrates 'The Day Of The Dead' Instead Of Halloween Which Includes The Traditionn Of Paassing A Live Person In A Coffin Through The Streets,Mexico
General,Who wrote 'roll over beethoven',Chuck berry
General,Who released the smash hit 'she drives me crazy',Fine young cannibals
History & Holidays,"The original Halloween film directed by John Carpenter in 1978 cost just $320,000 to make. It ended up making how much world wide was it A 40M, B 50M or was it C 60M",B (50 Million)
General,"Whose last words were ""Thomas Jefferson still survives""",John adams
General,What Planet Is Sometimes Refered To As Lucifer,Venus
Music,What Is Bo Diddley's Real Name,Elias Bates (Elias McDaniel)
General,"A polish national dance in triple time with an accent on the second beat, characterized by proud bearing, clicking of heels, and holubria, a special turning step.",Mazurka
History & Holidays,"Beginning in the 1820s, who from the southeastern united states were relocated to indian territory over numerous routes",The five civilized tribes
General,97% of all paper money in the USA has traces of what on it,Cocaine
General,What TV show had a character named Potsie?,Happy Days
General,A horse's hoof is also known by what grim term,Coffin
General,Who wrote the musical The Desert Song,Sigmund Romberg
Music,Herbie Mann Is Best Known For Playing Which Instrument,Flute
General,What are the sacred Hindu texts called,Vedas
General,What is the tallest piece on a chessboard,King
General,What is the fear of ants known as,Myrmecophobia
General,Who was the losing Democratic candidate when Dwight D Eisenhower was re-elected as U.S. President in 1956,Adlai stevenson
General,Who wrote 'gone with the wind',Margaret mitchell
General,Who is the largest builder of fire engines in the united states,Ward la
General,Hydrargyophobia is the fear of,Mercurial medicines
General,Psychrophobia is the fear of,Cold
Entertainment,What is Dennis the Menace's surname?,Mitchell
General,What kind of clay can potters heat to a higher temperature earthenware or stoneware,Stoneware
General,Piano Man' was which man's first successful album in 1974,Billy Joel
General,"When solid substances in the blood are removed, what name is given to the remaining liquid",Plasma
General,Who was the only person to win world titles on bikes and cars,John Surtees
Art & Literature,What Is The Name Of The 7th And Final Harry Potter Book,Harry Potter & The Deathly Hallows
Science & Nature,Which Year Was The Orbiting Hubble Telescope Launched,1990
General,What year was Picasso born,1881
General,Who is the norse god of lightning,Odin
Music,"From Her 1994 Hit When did Sheryl Crow ""Like A Good Beer Buzz""",Early In The Morning
General,"What beach boys song blathers ""rah rah rah rah, sis boom bah""",Be true to
General,As a performer what one thing would Elvis never do,An Encore
General,"What was a big hit for the pipes, drums, and military band of the Royal Scots Dragoon Guards in 1972",Amazing grace
General,When was the resurrection,Easter
General,First Impressions was the original title of what classic novel,Pride and Prejudice
General,Who climbed mount fuji at age 99,Teiichi igarashi
Science & Nature,"The female king crab incubates as many as 400,000 young for 11 months in a brood pouch under her __________",Abdomen
Entertainment,"When Tweety exclaimed, ""I thought I saw a putty tat!"", who did he see?",Sylvester
General,What is the current vat rate in the uk,17.50%
Music,What Message Did Michael Ward Bring Us In His One And Only Chart Success,Let There Be Peace On Earth
General,By Winning The World Snooker Championship In 1998 Who Knocked Stephen Hendry Of The No.1 Spot,John Higgins
General,What was the top grossing film of the 60s,The Sound of Music
General,In Norse mythology what is the name of the ultimate battle,Ragnarok
General,According to Hite report masturbating women like to use what,Candles
General,"What Is The Only Spin Off To Date From The TV Show ""Coronation Street""",Pardon The Expression
General,When Sharon Davis Appeared On Th TV Show Gladiators What Was Her Gladiator Name,Amazon
General,"Name Any Year In The Life Of Socrates, He Lived Til The Age Of 70",469-399 BC
General,The automobile company that makes beetles,Volkswagon
General,Who was the author of catcher in the rye,Jd salinger
Science & Nature,Which meteor shower occurs on the 12th August ?,Perseids
General,What does LL Cool J.'s name stand for?,Ladies Love Cool James
General,Where were the ancient olympics held,Olympia
General,What city is known as The worlds chocolate capital,Hershey Pennsylvania
Entertainment,What instrument does an organ grinder play?,Hurdy gurdy
Music,With Which Band Did Hugh Cornwell Sing Lead Vocals,The Stranglers
Music,Which Band Did Peter Murphy Of Bauhaus & Mick Karn Of Japan Form,Dali's Car
General,Name the three children on Kate and Ali.,"Jenny,Chip and Emma"
General,Where could you see or do an Ollie and a McTwist,Skateboarding
General,"Broadway 59 music Ordinary Couple, Preludium, Processional",The Sound of Music
Music,Name the 2 former Beatles who played with the band in their early tour of Germany?,Pete Best & Stuart Suttclife
Food & Drink,What equivalent English course is antipasto?,Starters or Hors D'Oeuvres
General,What was the name of the sad faced clown portrayed by Emmett Kelly?,Weary Willie
General,"In Greek mythology, Pasiphae gave birth to which creature",Minotaur
People & Places,Which Famous London Landmark Was Designed by Sir Norman Foster,The Millenium Bridge
General,What food was almost non-existent in ireland in the 1840's,Potatoes
Science & Nature,What is the main component of air,Nitrogen
Music,What Was Pop Duo Jemini's “Famous Achievement” Of 2003?,Last In Eurovision Song Contest With No Points
Sports & Leisure,The Greek God Apollo Accidently Killed His Friend Hyacinthus While Practising For Which Sporting Event,The Discus
Science & Nature,Which meteor shower occurs on the 16th November ?,Leonids
General,The words 'coffee' and 'yoghurt' originate from which language,Turkish
General,Which acid builds up in the body during excessive exercise,Lactic
General,White and the seven dwarfs Where is the Plumas National Forest,California
General,"Primrose, Montgomery, Petunia, Zinnia And Victoria Were 5 Of The 6 Children That Featured In Which TV Series",The Darling Buds Of Me
General,Many ancient mayan ruins are located on which peninsula,Yucatan peninsula
General,What was jane wyman reagan's birth name,Sarah jane fulks
General,Who cut the US flag to pieces and was honoured for it,Robert Peary left bits at North Pole
Geography,Which country occupies the 'horn' of Africa?,Somalia
General,In medieval Spain which city was noted for its quality steel,Toledo
General,"Who wrote the opera ""the Thieving Magpie'",Rossini
General,When The National Lottery First Introduced It's Midweek Draw Who Presented The Show,Carole Smille
